comment_id,text,video_id,create_time,like_count,status,author.unique_id,author.nickname,author.is_private,author.language,author.signature,author.custom_verify,author.uid,author.sec_uid,author.avatar_thumb,author.region,author.ins_id,author.youtube_channel_title,author.youtube_channel_id,author.twitter_id
6.81688E+18,But are you giving him a Tesla? Because he deserves it 😜,6.81682E+18,1587178528,161,1,lissettecalv,Lissette | Influencer Coach,False,en,How to BUILD & MONETIZE a digital biz with purpose + all things INFLUENCER.,Verified account,1.33202E+17,MS4wLjABAAAAbX7SywQS04x1ilOoKHrpTZqhQ6lD32nRC6WjOXzA8R8zhjr81kzNSI_uZP4P_k-9,https://p77-sign-sg.tiktokcdn.com/musically-maliva-obj/3584ef9514fca6a0b79987d0cd842c68~c5_100x100.webp?x-expires=1601859600&x-signature=0NCYD4Rou58Iou8gKTuMNzNgG4Y%3D,US,lissettecalv,,,
6.81685E+18,David was just hoping for some help 😢,6.81682E+18,1587170875,1165,1,hellomyfriend0_o,Isaac micallef,True,en,In bed watching Tiktok video's 😴,,6.7446E+18,MS4wLjABAAAADslkcxnt1mqt2oQwQEK8d0ybBHPuCO-geVApGZ0J8l7PDJUsqt1OrmjDVzccIy5s,https://p77-sign-sg.tiktokcdn.com/musically-maliva-obj/1646630523490310~c5_100x100.webp?x-expires=1601859600&x-signature=PKPPJd3DZohrgpzSpqDtJNygGjA%3D,MT,,,,
6.81694E+18,We ain’t forgot that time he tricked us all into thinking we could win a Tesla,6.81682E+18,1587193131,249,1,briancarrion_,Briancarrion,False,en,"Might make you cringe 🤷🏽‍♂️
🇻🇪",Verified account,2165547,MS4wLjABAAAAKH09hef-gLcTyrzYygfGHMazAhFaLMML7-l9mXSNZHU,https://p16-sign-sg.tiktokcdn.com/musically-maliva-obj/bdeb36b41bddf5a9691675ca36b7b5ad~c5_100x100.webp?x-expires=1601859600&x-signature=uNtdTUtN1USpmQXa3adJC2lKf6M%3D,US,brian.carrion_,,,
6.81682E+18,get him a tesla,6.81682E+18,1587165700,4038,1,slumpgodkayy,kaykay the slumpgod,False,en,"👻:@ kaykayyishere
follow my instagram💖",,6.58642E+18,MS4wLjABAAAAI1dyIIb3qlBf3LhqS3-OJITdYuc3OcWlsdlxXLNmJJWugK96B41pd1OvfKmKchs8,https://p16-sign-sg.tiktokcdn.com/musically-maliva-obj/f3757e9eb54d246b7830cf4da08e20d3~c5_100x100.webp?x-expires=1601859600&x-signature=BStAEqd%2BQQdVvOva%2BKtDVUy5OG4%3D,US,kaylemraley,,,
6.81682E+18,david ur so hung,6.81682E+18,1587164971,100,1,_4den,dad,False,en,x kinda fell off,,6.74042E+18,MS4wLjABAAAAykXQ0pVI4w-y3kI1omvYzOH2xnJN0iP3lftGZpA3Vi1bVa-1LQyU9f3hIoQAM2O-,https://p77-sign-sg.tiktokcdn.com/tos-maliva-avt-0068/72358e6779da14a19458c26c37caf74d~c5_100x100.webp?x-expires=1601859600&x-signature=323crkZzXCDdWSreTZ9W%2B5VtPOE%3D,US,_4den,aden burgess,UCe3pSCjGls_hByctWn91rqw,
6.81695E+18,"@nahhnothingtoseehere it’s true, I’m the Tesla",6.81682E+18,1587194618,479,1,psychology.morphology,O,False,en,"University psych kid ☄️
O",,6.74782E+18,MS4wLjABAAAAAq-whqKACf-kJXJ1Rx8YOSEqcSrl-2GBGQ59rnnGbqr7fvX4zUQSMEP7dad8gVYT,https://p77-sign-sg.tiktokcdn.com/aweme/100x100/tiktok-obj/1659132322606081.webp?x-expires=1601859600&x-signature=cRYKq1ZqWYvo7ZpbBXvlxoZIABg%3D,CA,,,,
6.81686E+18,imagine getting a notification that says that david dobrik duetted your video,6.81682E+18,1587172936,136,1,kat_ruhls_tiktok,kat ruhlin,False,en,"Minnesota 
✰ 17 ✰
she/her
⬇️ click the link (18+) ⬇️",,6.61796E+18,MS4wLjABAAAATh0r50eykfWln-xxBhxnqBJb4NgH3-uqfJWNaVjIDcFhh-TlnaK5YcSWRH0sAfxP,https://p16-sign-sg.tiktokcdn.com/tos-maliva-avt-0068/fb0434488460bf09a7cd69cfd0da477d~c5_100x100.webp?x-expires=1601859600&x-signature=pAa8onknkBb9RGmAso2XRly5l0k%3D,US,katruhlin,,,
6.81683E+18,give this man his tesla,6.81682E+18,1587165945,275,1,idontcaryous,morgy,False,en,"child's play
insta- morganvickaryous",,6.69691E+18,MS4wLjABAAAAFpKH2G7rytlKvsK7G4Z8GlMPgiF79IRmPmXTs3LC5Ra5fWnpYeZTbz1jBbWVjR6J,https://p61-sign-sg.tiktokcdn.com/musically-maliva-obj/51a98d0d6e26a0138b7e353f1feaa87d~c5_100x100.webp?x-expires=1601859600&x-signature=vurnHKfILeZs%2BUSTp5nneaGQoAE%3D,US,,,,
6.81713E+18,Please come to the El Paso hype house,6.81682E+18,1587236102,64,1,king_cbas101,King.cbas,False,en,"Last follower 

christian.meza0815",,6.79312E+18,MS4wLjABAAAAEmV8MJzkiCME5lonU6XkY59b4DtpbqOEh-6yZkxnLIq0xNKRXrBF61RmZ4Gi2E7i,https://p61-sign-sg.tiktokcdn.com/tos-maliva-avt-0068/36dfc42f081ef9da0e03fd62149b99d3~c5_100x100.webp?x-expires=1601859600&x-signature=ybgGrQS%2BfidgeVD%2FMSLxcO6thgM%3D,US,king.cbas_,,,
6.81685E+18,"Get him a tesla, you won't",6.81682E+18,1587172508,1518,1,jxffmxrris,Jeff,False,en,,,6.62971E+18,MS4wLjABAAAAsG41EsDe-fQuq2uEKUAhIrcrru8-DORbQlKktfhCsN6r42yBIJOQAfPqb9ALdAsJ,https://p77-sign-sg.tiktokcdn.com/musically-maliva-obj/1ed7060254ffb7ce3cbbda322255965f~c5_100x100.webp?x-expires=1601859600&x-signature=qXGWgrIE35cuyNELTxYz1hIFU98%3D,US,,,,
